CD4_cl12,#0000FF
DP_cl61,#FF0000
CD4_cl28,#00FF00
CD4_cl3,#000033
DP_cl62,#FF00B6
CD4_cl9,#005300
CD8_cl1,#FFD300
CD8aa_cl1,#009FFF
CD8_cl25,#9A4D42
CD8aa_cl20,#00FFBE
nonconv_cl17,#783FC1
CD8_cl4,#1F9698
CD4_cl1,#FFACFD
DN_miniverse,#B1CC71
CD8_cl15,#F1085C
CD4_miniverse,#FE8F42
CD8_miniverse,#DD00FF
CD8_cl2,#201A01
CD8_cl12,#720055
DN_cl39,#766C95
CD8aa_cl40,#02AD24
CD4_cl7,#C8FF00
CD4_cl10,#886C00
CD4_cl2,#FFB79F
nonconv_cl8,#858567
CD8_cl27,#A10300
Treg_cl7,#14F9FF
CD8_cl22,#00479E
gdT_prolif,#DC5E93
CD8_cl7,#93D4FF
nonconv_cl24,#004CFF
nonconv_cl13,#F2F318
gdT_cl43,#5A5156
CD8_cl28,#E4E1E3
gdT_cl2,#F6222E
CD4_cl4,#FE00FA
Treg_cl1,#16FF32
Treg_prolif,#3283FE
DN_cl3,#FEAF16
CD8_cl6,#B00068
DP_cl51,#1CFFCE
gdT_cl23,#90AD1C
CD8_cl18,#2ED9FF
CD8aa_cl16,#DEA0FD
CD4_cl5,#AA0DFE
DP_cl60,#F8A19F
DN_cl58,#325A9B
Treg_cl6,#C4451C
nonconv_cl55,#1C8356
gdT_cl33,#85660D
CD8_cl13,#B10DA1
gdT_cl54,#FBE426
gdT_cl35,#1CBE4F
nonconv_cl21,#FA0087
CD4_cl21,#FC1CBF
CD4_prolif,#F7E1A0
gdT_cl28,#C075A6
CD4_cl14,#782AB6
CD8_prolif,#AAF400
gdT_miniverse,#BDCDFF
CD8aa_miniverse,#822E1C
gdT_cl10,#B5EFB5
Treg_cl4,#7ED7D1
CD4_cl25,#1C7F93
gdT_cl11,#D85FF7
DN_cl41,#683B79
CD8_cl10,#66B0FF
CD8_cl26,#3B00FB
gdT_cl12,#7FC97F
gdT_cl52,#BEAED4
DN_cl29,#FDC086
CD8aa_cl56,#386CB0
CD4_cl13,#F0027F
DP_miniverse,#BF5B17
gdT_cl4,#666666
Treg_cl3,#1B9E77
Treg_cl2,#D95F02
CD8_cl5,#7570B3
nonconv_miniverse,#E7298A
DN_cl15,#66A61E
CD8aa_prolif,#E6AB02
gdT_cl9,#A6761D
gdT_cl42,#A6CEE3
CD8_cl14,#1F78B4
CD4_cl20,#B2DF8A
CD4_cl22,#33A02C
CD4_cl23,#FB9A99
DN_cl18,#E31A1C
DN_prolif,#FDBF6F
CD4_cl15,#FF7F00
Treg_cl8,#CAB2D6
DP_prolif,#6A3D9A
DN_cl57,#B15928
DP_cl59,#FBB4AE
gdT_cl5,#B3CDE3
DN_cl34,#CCEBC5
Treg_miniverse,#DECBE4
DP_cl63,#FED9A6
CD8_cl11,#FFFFCC
gdT_cl26,#E5D8BD
nonconv_prolif,#FDDAEC
CD8_cl20,#F2F2F2
DP_cl65,#B3E2CD
CD4_cl16,#FDCDAC
CD4_cl18,#CBD5E8
DN_cl31,#F4CAE4
DP_cl64,#E6F5C9
CD4_cl17,#FFF2AE
thymocyte,#F1E2CC
gdT_cl46,#CCCCCC
gdT_cl7,#E41A1C
gdT_cl50,#377EB8
DP_cl14,#4DAF4A
